x0,y0,x1,y1,x2,y2
LR,64.91,LR,75.73,LR,76.32
RF,62.87,RF,69.59,RF,71.64
MP,73.1,MP,81.29,MP,82.75
Jaccard,62.87,Jaccard,68.71,Jaccard,70.18
