x3,y3,x4,y4,x5,y5
LR,89.77,LR,91.27,LR,91.34
RF,81.06,RF,82.58,RF,82.99
MP,87.55,MP,88.74,MP,88.93
Jaccard,81.78,Jaccard,83.09,Jaccard,83.39
